# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.500,6.500
233.652910,99.519459,6.500,6.500
386.569336,163.456542,6.500,6.500
537.028933,227.949600,6.000,6.000
544.992447,234.287710,6.000,6.000
550.075542,243.628084,6.000,6.000
551.092161,252.634873,6.000,6.000
548.550613,265.644680,6.000,6.000
517.967328,344.815468,6.000,6.000
466.289201,445.002096,6.000,6.000
423.675926,541.964072,6.000,6.000
416.644311,546.634259,6.000,6.000
407.664178,548.190988,6.000,6.000
263.727886,490.592016,6.000,6.000
87.683380,422.429526,6.000,6.000
-152.492835,314.459253,6.000,6.000
-359.544217,219.609980,6.000,6.000
-373.099135,205.377030,6.000,6.000
-373.099135,186.029112,6.000,6.000
-305.409260,10.452323,6.000,6.000
-304.900951,-3.224653,6.000,6.000
-315.406013,-15.233705,6.000,6.000
-433.249087,-70.831168,6.000,6.000
-499.922343,-107.525494,6.000,6.000
-589.723679,-165.124466,3.800,3.800
-595.230364,-172.463331,3.800,3.800
-593.197127,-183.026849,3.800,3.800
-578.201998,-215.940548,3.800,3.800
-578.710307,-225.392116,3.800,3.800
-586.250231,-232.730981,3.800,3.800
-620.306964,-262.642417,3.800,3.800
-824.901517,-420.983992,6.000,6.000
-859.466560,-452.340962,5.000,5.000
-874.038097,-462.348505,5.000,5.000
-888.609635,-461.792530,5.000,5.000
-900.639625,-448.671529,5.000,5.000
-954.774581,-289.329199,5.000,5.000
-961.297886,-282.546309,5.000,5.000
-971.294638,-280.433605,5.000,5.000
-984.341247,-280.433605,5.000,5.000
-1003.911161,-268.424553,5.000,5.000
-1015.941152,-265.311095,5.000,5.000
-1028.479451,-265.755875,5.000,5.000
-1040.509442,-266.867824,5.000,5.000
-1053.556051,-261.641662,5.000,5.000
-1060.079355,-251.634119,5.000,5.000
-1071.601036,-213.939039,5.000,5.000
-1077.107722,-207.044953,5.000,5.000
-1085.155955,-201.818792,5.000,5.000
-1097.185945,-201.262817,5.000,5.000
-1183.429115,-231.174252,6.000,6.000
-1320.842103,-298.335988,6.000,6.000
-1411.575339,-352.821502,6.000,6.000
-1429.620325,-367.499233,6.000,6.000
-1443.683553,-386.291175,6.000,6.000
-1456.730162,-413.089152,6.000,6.000
-1501.291957,-564.536643,6.000,6.000
-1504.341814,-584.996509,6.000,6.000
-1489.770276,-794.154166,6.000,6.000
-1485.280209,-807.275167,6.000,6.000
-1474.266838,-820.284974,6.000,6.000
-1288.225580,-917.802925,6.000,6.000
-1236.039143,-940.931469,6.000,6.000
-1207.489095,-951.383792,6.000,6.000
-1191.477348,-953.941276,6.500,6.500
-1172.924053,-950.827818,6.500,6.500
-1159.877444,-941.932224,6.500,6.500
-1151.320901,-932.480655,6.500,6.500
-1095.152707,-828.735788,6.500,6.500
-1082.106098,-804.606489,6.500,6.500
-1067.110969,-785.258572,6.500,6.500
-907.162930,-639.482023,6.500,6.500
-894.116320,-621.134860,6.500,6.500
-887.593016,-603.343672,6.500,6.500
-873.529788,-507.382450,6.500,6.500
-867.514793,-488.590508,6.500,6.500
-855.484802,-470.688124,6.500,6.500
-841.421574,-458.123098,6.500,6.500
-611.242112,-279.432851,6.500,6.500
-580.150517,-258.972984,6.500,6.500
-545.077166,-240.069847,6.500,6.500
-512.460643,-224.391362,6.500,6.500
-408.680797,-180.914146,6.500,6.500
-316.422632,-137.881709,6.500,6.500
-91.326264,-41.475708,6.500,6.500
