# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.000,6.000
58.646191,-226.948845,6.000,6.000
64.856986,-250.855755,6.000,6.000
71.067780,-264.643925,6.000,6.000
85.118430,-285.548572,6.000,6.000
92.347388,-291.441903,6.000,6.000
102.732651,-295.667310,6.000,6.000
113.016098,-295.778505,6.000,6.000
124.317707,-293.443411,6.000,6.000
130.223053,-290.329953,6.000,6.000
148.549988,-273.428325,6.000,6.000
166.367841,-253.635628,6.000,6.000
173.393166,-248.409466,6.000,6.000
182.556633,-245.184813,6.000,6.000
191.821917,-244.628839,6.000,6.000
205.261669,-248.965441,6.000,6.000
233.770234,-266.423044,6.000,6.000
256.373454,-275.763418,6.000,6.000
273.173144,-280.100020,6.000,6.000
288.547406,-282.101529,6.000,6.000
302.598056,-282.879893,6.000,6.000
323.266766,-280.433605,6.000,6.000
339.048293,-276.986562,6.000,6.000
358.495207,-269.981282,6.000,6.000
376.720325,-259.417764,6.000,6.000
394.741811,-245.296008,6.000,6.000
409.301543,-229.951108,6.000,6.000
420.806785,-213.605454,6.000,6.000
429.359355,-198.260554,6.000,6.000
436.486496,-181.025341,6.000,6.000
464.384163,-88.844746,6.000,6.000
476.194855,-42.587657,6.000,6.000
496.354483,35.915961,6.000,6.000
520.994028,136.213785,6.000,6.000
564.265958,300.559887,6.000,6.000
579.843852,359.826783,6.000,6.000
590.840013,401.413685,6.000,6.000
595.930828,420.761602,6.000,6.000
597.865338,432.993044,6.000,6.000
596.643542,444.446122,6.000,6.000
593.792686,452.229767,6.000,6.000
587.581891,461.458946,6.000,6.000
576.382098,469.242590,6.000,6.000
563.349611,474.691142,6.000,6.000
544.513595,478.582964,6.000,6.000
488.209178,489.702457,6.000,6.000
466.216857,492.148745,6.000,6.000
452.573472,491.147991,6.000,6.000
435.875598,488.812898,6.000,6.000
420.094071,484.142711,6.000,6.000
406.145237,475.914286,6.000,6.000
392.909118,468.130641,6.000,6.000
379.672998,457.233538,6.000,6.000
366.945960,443.111783,6.000,6.000
349.535372,420.983992,6.000,6.000
292.314609,343.703518,6.000,6.000
258.715229,296.112090,6.000,6.000
230.104847,255.414747,6.000,6.000
198.745426,214.272624,6.000,6.000
182.251184,191.366469,6.000,6.000
169.524146,174.131255,6.000,6.000
160.666128,164.346102,6.000,6.000
150.789946,158.230381,6.000,6.000
136.739296,153.226609,6.000,6.000
121.263218,151.225100,6.000,6.000
98.049101,151.781075,6.000,6.000
82.573023,154.338558,6.000,6.000
70.253250,158.230381,6.000,6.000
59.257089,163.234152,6.000,6.000
40.421073,173.464086,6.000,6.000
31.053973,181.803705,6.000,6.000
24.843178,190.032130,6.000,6.000
18.836016,201.929987,6.000,6.000
14.254283,218.053251,6.000,6.000
8.552570,241.848965,6.000,6.000
3.869020,263.643171,6.000,6.000
-2.443591,303.673345,6.000,6.000
-3.665387,320.241389,6.000,6.000
-3.359938,337.031823,6.000,6.000
0.610898,349.819239,6.000,6.000
7.025325,356.268545,6.000,6.000
11.505242,358.603638,6.000,6.000
17.105139,360.493952,6.000,6.000
24.741362,361.383512,6.000,6.000
32.784850,359.382003,6.000,6.000
41.235603,356.046155,6.000,6.000
64.042455,338.699747,6.000,6.000
73.205923,333.251195,6.000,6.000
80.333064,330.248932,6.000,6.000
87.969287,328.692203,6.000,6.000
94.994612,328.136229,6.000,6.000
102.732651,329.136983,6.000,6.000
113.321547,333.028805,6.000,6.000
125.844952,343.369933,6.000,6.000
132.870277,353.822257,6.000,6.000
136.637480,365.275334,6.000,6.000
137.248378,375.060488,6.000,6.000
135.721133,386.402370,6.000,6.000
131.444849,395.297964,6.000,6.000
121.670483,409.642110,6.000,6.000
112.812465,418.537704,6.000,6.000
81.554860,449.116309,6.000,6.000
65.467884,467.574667,6.000,6.000
54.369906,484.031516,6.000,6.000
46.326418,506.048111,6.000,6.000
40.115624,533.402063,6.000,6.000
37.264767,549.970107,6.000,6.000
35.737523,564.870227,6.000,6.000
36.755686,577.101669,6.000,6.000
41.541052,585.441289,6.000,6.000
45.511888,590.445060,6.000,6.000
51.926315,592.557764,6.000,6.000
57.220763,593.892103,6.000,6.000
64.042455,592.780154,6.000,6.000
71.984127,589.555501,6.000,6.000
110.165241,546.078285,6.000,6.000
143.153724,509.606349,6.000,6.000
148.855437,504.936162,6.000,6.000
161.175209,496.374153,6.000,6.000
172.476819,491.370381,6.000,6.000
181.843919,488.590508,6.000,6.000
193.349162,486.700194,6.000,6.000
204.039874,485.477050,6.000,6.000
216.359646,485.365855,6.000,6.000
235.704744,488.145728,6.000,6.000
250.468108,492.927110,6.000,6.000
266.147819,501.933899,6.000,6.000
282.031163,514.832510,6.000,6.000
290.889181,526.507978,6.000,6.000
300.358097,539.628979,6.000,6.000
325.710357,579.547958,6.000,6.000
353.709841,626.472217,6.000,6.000
385.374711,677.733078,6.000,6.000
387.411037,683.737604,6.000,6.000
387.920119,690.854079,6.000,6.000
385.985609,697.859360,6.000,6.000
382.320222,705.420615,6.000,6.000
375.294897,711.981115,6.000,6.000
358.698840,720.654320,6.000,6.000
334.568375,729.438719,6.000,6.000
285.594733,747.897077,6.000,6.000
276.024001,750.454560,6.000,6.000
263.806044,752.344874,6.000,6.000
239.166498,749.676195,6.000,6.000
217.581442,746.006763,6.000,6.000
170.338677,735.888025,6.000,6.000
154.658966,730.550668,6.000,6.000
123.503177,717.540862,6.000,6.000
108.128915,710.757971,6.000,6.000
71.475046,690.965274,6.000,6.000
56.915314,681.068926,6.000,6.000
44.493725,669.949433,6.000,6.000
31.868503,658.273966,6.000,6.000
21.585056,646.153719,6.000,6.000
12.421589,631.920768,6.000,6.000
4.072652,613.795995,6.000,6.000
-2.647224,594.448078,6.000,6.000
-13.236120,554.973879,6.000,6.000
-24.741362,505.269747,6.000,6.000
-32.377585,458.456683,6.000,6.000
-45.511888,408.530160,6.000,6.000
-53.962641,370.946275,6.000,6.000
-61.293415,344.926662,6.000,6.000
-63.737006,326.023525,6.000,6.000
-64.246088,300.337497,6.000,6.000
-62.820660,269.870087,6.000,6.000
-59.460722,247.075127,6.000,6.000
-53.759009,220.499540,6.000,6.000
-43.882827,182.248485,6.000,6.000
-15.068813,61.046015,6.000,6.000
