# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,5.250,5.250
-1.608617,9.948600,5.250,5.250
0.643447,18.902340,5.250,5.250
6.434466,31.172280,5.250,5.250
11.903762,39.794400,5.250,5.250
28.955098,61.239160,5.250,5.250
115.579099,178.079940,5.250,5.250
121.611411,186.480980,5.250,5.250
130.539233,189.023400,5.250,5.250
141.397395,185.928280,5.250,5.250
148.957893,179.738040,5.250,5.250
154.427189,170.010520,5.250,5.250
155.553221,159.067060,5.250,5.250
155.794513,150.002780,5.250,5.250
156.679252,142.596600,5.250,5.250
161.183379,133.753400,5.250,5.250
166.411382,127.010460,5.250,5.250
176.143513,113.414040,5.250,5.250
182.738840,101.365180,5.250,5.250
185.312627,94.069540,5.250,5.250
188.610291,89.758480,5.250,5.250
193.838295,88.321460,5.250,5.250
199.870607,90.090100,5.250,5.250
204.374733,94.732780,5.250,5.250
205.742057,101.365180,5.250,5.250
202.766116,107.002720,5.250,5.250
195.125188,112.529720,5.250,5.250
172.524125,141.049040,5.250,5.250
169.306892,147.902520,5.250,5.250
169.226461,154.534920,5.250,5.250
170.995940,159.619760,5.250,5.250
173.408864,164.372980,5.250,5.250
184.025734,169.789440,5.250,5.250
200.433622,173.989960,5.250,5.250
209.361444,177.306160,5.250,5.250
218.530559,180.953980,5.250,5.250
231.238629,185.375580,5.250,5.250
245.072732,186.370440,5.250,5.250
252.391937,182.722620,5.250,5.250
255.126585,171.447540,5.250,5.250
252.552799,105.565700,5.250,5.250
242.338084,37.804680,5.250,5.250
231.721214,-5.305920,5.250,5.250
219.897883,-36.036040,5.250,5.250
199.629314,-71.187760,5.250,5.250
176.304374,-100.923020,5.250,5.250
142.523427,-137.511760,5.250,5.250
94.184499,-166.915400,5.250,5.250
65.390263,-180.953980,5.250,5.250
9.892992,-206.709800,5.250,5.250
-27.426912,-219.532440,5.250,5.250
-82.522029,-232.465620,5.250,5.250
-117.992024,-237.992620,5.250,5.250
-136.812838,-241.529900,5.250,5.250
