# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.000,6.000
36.472504,428.878832,6.000,6.000
53.036775,608.681028,6.000,6.000
54.825405,616.019894,6.000,6.000
59.957997,620.245301,6.000,6.000
66.334852,621.246055,6.000,6.000
74.189272,620.245301,6.000,6.000
81.577093,619.689326,6.000,6.000
88.420547,620.245301,6.000,6.000
93.086539,623.914733,6.000,6.000
96.741566,629.140895,6.000,6.000
97.674765,633.811082,6.000,6.000
97.674765,639.037243,6.000,6.000
71.856276,737.111169,6.000,6.000
68.201249,763.797951,6.000,6.000
66.801451,787.927250,6.000,6.000
68.667848,814.169253,6.000,6.000
78.310898,942.043419,6.000,6.000
82.043692,962.948065,6.000,6.000
86.631917,982.407177,6.000,6.000
93.553139,1003.311823,6.000,6.000
102.729589,1025.884393,6.000,6.000
113.305838,1047.900989,6.000,6.000
128.936911,1072.586262,6.000,6.000
145.034583,1092.934934,6.000,6.000
166.731446,1116.063479,6.000,6.000
190.216938,1136.523345,6.000,6.000
216.424260,1155.315288,6.000,6.000
244.497978,1171.549747,6.000,6.000
276.226723,1187.339427,6.000,6.000
308.033235,1198.347724,6.000,6.000
343.028175,1208.244073,6.000,6.000
382.611340,1215.138158,6.000,6.000
423.127703,1218.807591,6.000,6.000
580.993764,1232.373372,6.000,6.000
774.321364,1243.937644,6.000,6.000
785.830811,1244.938399,6.000,6.000
791.818834,1248.163052,6.000,6.000
796.873658,1253.389213,6.000,6.000
803.250514,1275.961783,6.000,6.000
806.050109,1282.188699,6.000,6.000
810.638334,1286.414106,6.000,6.000
818.492754,1288.971590,6.000,6.000
844.700076,1293.752972,6.000,6.000
873.240393,1299.979887,6.000,6.000
913.756756,1313.100889,6.000,6.000
1094.641711,1373.924514,6.000,6.000
1110.272784,1377.593946,6.000,6.000
1125.048425,1377.593946,6.000,6.000
1139.279701,1374.925268,6.000,6.000
1149.389350,1370.811056,6.000,6.000
1159.110166,1365.028919,6.000,6.000
1168.286617,1358.690809,6.000,6.000
1179.796064,1346.125782,6.000,6.000
1186.250686,1336.229433,6.000,6.000
1190.838912,1324.109186,6.000,6.000
1193.171908,1310.543405,6.000,6.000
1200.948561,1224.589727,6.000,6.000
1215.724202,1077.812424,6.000,6.000
1215.257603,1064.691423,6.000,6.000
1212.924607,1056.240608,6.000,6.000
1209.269580,1048.901743,6.000,6.000
1203.281557,1043.675581,6.000,6.000
1192.238709,1036.336716,6.000,6.000
1073.955813,972.399634,6.000,6.000
977.758613,918.470094,6.000,6.000
917.878383,885.445201,6.000,6.000
888.871466,868.654767,6.000,6.000
856.209522,845.637417,6.000,6.000
832.724030,827.735034,6.000,6.000
812.504731,809.943846,6.000,6.000
707.519912,719.764760,6.000,6.000
633.019574,652.158245,6.000,6.000
475.542346,513.831756,6.000,6.000
380.744943,430.435561,6.000,6.000
367.835699,417.314560,6.000,6.000
362.780874,408.974940,6.000,6.000
361.847676,400.635321,6.000,6.000
361.847676,390.627777,6.000,6.000
365.113870,368.611182,6.000,6.000
366.047068,356.602130,6.000,6.000
366.047068,339.255721,6.000,6.000
364.647271,329.804152,6.000,6.000
360.914477,317.795100,6.000,6.000
355.393053,303.673345,6.000,6.000
346.216603,289.440394,6.000,6.000
333.773957,274.762664,6.000,6.000
319.542682,262.753612,6.000,6.000
308.033235,253.858018,6.000,6.000
302.045212,246.963932,6.000,6.000
297.456987,237.623558,6.000,6.000
293.257594,220.277150,6.000,6.000
283.614544,141.106362,6.000,6.000
273.504895,56.709413,6.000,6.000
195.271763,-700.083258,6.000,6.000
192.005569,-727.326015,6.000,6.000
188.817141,-740.002237,6.000,6.000
182.362519,-753.012043,6.000,6.000
173.574900,-763.575561,6.000,6.000
163.465251,-773.027130,6.000,6.000
149.233976,-782.367504,6.000,6.000
133.602903,-788.149640,6.000,6.000
115.638834,-791.374293,6.000,6.000
100.396593,-790.262344,6.000,6.000
86.165318,-787.148886,6.000,6.000
69.601047,-780.810775,6.000,6.000
53.503374,-773.471910,6.000,6.000
41.527328,-765.132290,6.000,6.000
27.218286,-754.123993,6.000,6.000
11.120614,-736.777584,6.000,6.000
0.077767,-721.099099,6.000,6.000
-9.565283,-704.308665,6.000,6.000
-17.886302,-684.404773,6.000,6.000
-25.662956,-662.388178,6.000,6.000
-31.650979,-639.815608,6.000,6.000
-34.450574,-620.467691,6.000,6.000
-37.639002,-591.112230,6.000,6.000
-38.105601,-561.756769,6.000,6.000
-38.572200,-533.958038,6.000,6.000
-39.971998,-478.916549,6.000,6.000
-40.905196,-430.657951,6.000,6.000
-39.971998,-378.285140,6.000,6.000
-33.983975,-309.677871,6.000,6.000
-11.431680,-92.625374,6.000,6.000
