# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,7.000,7.000
-88.976102,305.341269,7.000,7.000
-108.984659,378.062751,7.000,7.000
-109.692926,387.180735,7.000,7.000
-105.000654,395.631549,7.000,7.000
-95.704644,404.971923,7.000,7.000
-83.929697,412.421983,7.000,7.000
-27.710965,454.342470,7.000,7.000
11.686413,481.918812,7.000,7.000
25.054962,485.810635,7.000,7.000
35.501908,485.143465,7.000,7.000
162.281787,454.231275,7.000,7.000
169.187395,447.893165,7.000,7.000
172.020465,440.887884,7.000,7.000
172.817266,434.327383,7.000,7.000
170.692463,426.321349,7.000,7.000
163.167121,418.648899,7.000,7.000
90.923838,376.061242,7.000,7.000
79.945692,366.943258,7.000,7.000
70.826748,353.711062,7.000,7.000
67.905145,345.705027,7.000,7.000
64.363807,332.361636,7.000,7.000
65.780342,311.012210,7.000,7.000
204.246635,-173.130501,7.000,7.000
211.417844,-194.813511,7.000,7.000
220.448254,-202.485961,7.000,7.000
230.275465,-202.708351,7.000,7.000
239.837076,-197.370995,7.000,7.000
245.503216,-188.141816,7.000,7.000
247.008285,-169.461068,7.000,7.000
262.058969,-27.353952,7.000,7.000
264.095238,1.000754,7.000,7.000
260.376833,33.803258,7.000,7.000
253.648292,56.598218,7.000,7.000
244.529348,77.169279,7.000,7.000
174.322334,210.603191,7.000,7.000
170.692463,225.392116,7.000,7.000
172.374599,241.515381,7.000,7.000
177.421004,255.637136,7.000,7.000
189.638618,272.538765,7.000,7.000
243.555481,336.587043,7.000,7.000
251.523490,339.811696,7.000,7.000
260.553900,341.257230,7.000,7.000
274.188049,338.588552,7.000,7.000
285.166195,331.027297,7.000,7.000
290.566735,321.686923,7.000,7.000
333.062784,28.910681,7.000,7.000
335.718787,15.789680,7.000,7.000
342.535861,-0.555975,7.000,7.000
349.087335,-13.454586,7.000,7.000
364.138019,-29.911435,7.000,7.000
385.563111,-44.811555,7.000,7.000
528.721676,-118.422597,7.000,7.000
540.762223,-129.875674,7.000,7.000
554.661972,-149.779566,7.000,7.000
567.587854,-183.360434,7.000,7.000
569.535589,-197.148605,7.000,7.000
567.233720,-208.268098,7.000,7.000
562.452915,-215.829353,7.000,7.000
553.511038,-223.946582,7.000,7.000
400.259661,-270.759646,7.000,7.000
390.343916,-276.097003,7.000,7.000
376.178567,-287.772470,7.000,7.000
361.039349,-304.451709,7.000,7.000
349.972670,-325.022771,7.000,7.000
344.660664,-348.707290,7.000,7.000
326.245709,-471.355294,7.000,7.000
327.750778,-482.808371,7.000,7.000
333.859585,-491.370381,7.000,7.000
343.863863,-501.155534,7.000,7.000
358.648946,-503.045848,7.000,7.000
370.689494,-500.599560,7.000,7.000
376.090033,-496.374153,7.000,7.000
471.352010,-381.065014,7.000,7.000
485.074692,-374.059733,7.000,7.000
499.682709,-370.946275,7.000,7.000
518.274730,-375.394072,7.000,7.000
533.502481,-388.959853,7.000,7.000
544.480627,-404.193558,7.000,7.000
548.907299,-415.090661,7.000,7.000
553.422504,-437.440841,7.000,7.000
552.979837,-450.228258,7.000,7.000
550.146767,-465.017183,7.000,7.000
543.241159,-479.806108,7.000,7.000
524.117937,-506.270501,7.000,7.000
427.882093,-622.135615,7.000,7.000
407.076736,-639.704413,7.000,7.000
388.573248,-652.047050,7.000,7.000
373.788164,-659.163525,7.000,7.000
350.769471,-667.280755,7.000,7.000
329.078779,-671.394967,7.000,7.000
301.721948,-671.506162,7.000,7.000
280.296856,-668.170314,7.000,7.000
258.694698,-662.388178,7.000,7.000
237.358140,-652.380635,7.000,7.000
216.021582,-640.037998,7.000,7.000
198.491962,-623.136369,7.000,7.000
183.883945,-606.234740,7.000,7.000
168.302061,-583.328585,7.000,7.000
2.833070,-9.896348,7.000,7.000
