# x_m,y_m,w_tr_right_m,w_tr_left_m
1.223807,-3.456935,8.662082,8.680311
-3.759945,-3.879933,8.678816,8.693408
-8.743737,-4.302437,8.691901,8.710154
-13.727569,-4.724461,8.704984,8.726902
-18.711438,-5.146020,8.719668,8.744038
-23.695344,-5.567130,8.732746,8.760790
-28.679285,-5.987803,8.747042,8.776325
-33.663258,-6.408055,8.760117,8.793082
-38.647264,-6.827900,8.773189,8.809841
-43.631301,-7.247353,8.787863,8.826986
-48.615366,-7.666428,8.800931,8.843749
-53.599459,-8.085140,8.815602,8.860898
-58.583578,-8.503504,8.828665,8.877666
-63.567722,-8.921533,8.843332,8.894818
-68.551890,-9.339243,8.856391,8.911590
-73.536079,-9.756648,8.869448,8.928365
-78.520289,-10.173763,8.884109,8.945523
-83.504517,-10.590602,8.897161,8.962302
-88.488764,-11.007179,8.911441,8.977853
-93.473026,-11.423510,8.924490,8.994635
-98.457303,-11.839609,8.939144,9.011800
-103.441593,-12.255489,8.952189,9.028587
-108.425895,-12.671167,8.965230,9.045376
-113.410207,-13.086656,8.979880,9.062547
-118.394528,-13.501971,8.992917,9.079340
-123.378857,-13.917127,9.007563,9.096514
-128.363192,-14.332138,9.020596,9.113312
-133.347531,-14.747018,9.035238,9.130489
-138.331873,-15.161783,9.048268,9.147291
-143.316218,-15.576446,9.061295,9.164095
-148.300562,-15.991022,9.075559,9.179662
-153.284905,-16.405526,9.088582,9.196469
-158.269246,-16.819973,9.103216,9.213655
-163.253582,-17.234376,9.116235,9.230467
-168.237913,-17.648751,9.130865,9.247657
-173.222237,-18.063112,9.143880,9.264472
-178.206553,-18.477473,9.156893,9.281291
-183.190858,-18.891849,9.171518,9.298485
-188.175153,-19.306255,9.184527,9.315307
-193.159434,-19.720705,9.199148,9.332506
-198.143702,-20.135214,9.212153,9.349332
-203.127954,-20.549796,9.225156,9.366160
-208.112189,-20.964466,9.239405,9.381742
-213.096405,-21.379238,9.252404,9.398574
-218.080602,-21.794127,9.267018,9.415780
-223.064777,-22.209147,9.280013,9.432616
-228.048929,-22.624314,9.294623,9.449825
-233.033059,-23.039634,9.307614,9.466665
-238.017165,-23.455106,9.320603,9.483507
-243.001251,-23.870726,9.335208,9.500722
-247.985317,-24.286490,9.348193,9.517567
-252.969365,-24.702395,9.362795,9.534785
-257.953395,-25.118435,9.375776,9.551635
-262.937410,-25.534609,9.390375,9.568856
-267.921410,-25.950911,9.402990,9.584083
-272.905396,-26.367339,9.415966,9.600938
-277.889371,-26.783888,9.430560,9.618164
-282.873334,-27.200555,9.443532,9.635023
-287.857288,-27.617335,9.458123,9.652252
-292.841234,-28.034226,9.471091,9.669115
-297.825172,-28.451223,9.485678,9.686347
-302.809105,-28.868322,9.498643,9.703213
-307.793033,-29.285520,9.511605,9.720082
-312.776958,-29.702813,9.526188,9.737319
-317.760881,-30.120198,9.539146,9.754191
-322.744803,-30.537669,9.553726,9.771431
-327.728725,-30.955225,9.566324,9.786676
-332.712650,-31.372860,9.579277,9.803554
-337.696577,-31.790571,9.593852,9.820798
-342.680508,-32.208354,9.606802,9.837680
-347.664445,-32.626207,9.621374,9.854927
-352.648389,-33.044123,9.634320,9.871812
-357.632341,-33.462101,9.648889,9.889063
-362.616303,-33.880136,9.661831,9.905952
-367.600274,-34.298225,9.674771,9.922842
-372.584258,-34.716363,9.689336,9.940098
-377.568255,-35.134547,9.702272,9.956992
-382.552266,-35.552773,9.716834,9.974250
-387.536293,-35.971037,9.729415,9.989512
-392.520337,-36.389336,9.743973,10.006772
-397.504399,-36.807666,9.756903,10.023674
-402.488480,-37.226022,9.769831,10.040577
-407.472582,-37.644402,9.784385,10.057842
-412.456706,-38.062802,9.797310,10.074749
-417.440853,-38.481217,9.811861,10.092017
-422.425025,-38.899643,9.824782,10.108927
-427.409222,-39.318078,9.839330,10.126199
-432.393447,-39.736518,9.852247,10.143112
-437.377700,-40.154958,9.865163,10.160028
-442.361982,-40.573394,9.879359,10.175663
-447.346295,-40.991824,9.892271,10.192581
-452.330640,-41.410243,9.906813,10.209860
-457.315018,-41.828647,9.919721,10.226782
-462.299431,-42.247033,9.932628,10.243706
-467.283880,-42.665397,9.947165,10.260988
-472.268366,-43.083735,9.960069,10.277916
-477.252890,-43.502044,9.974603,10.295201
-482.237454,-43.920319,9.987503,10.312132
-487.222058,-44.338556,10.002034,10.329421
-492.206705,-44.756753,10.014931,10.346355
-497.191396,-45.174905,10.027826,10.363291
-502.176131,-45.593009,10.042010,10.378938
-507.160912,-46.011060,10.054902,10.395877
-512.145740,-46.429055,10.069426,10.413172
-517.130616,-46.846990,10.082315,10.430115
-522.115543,-47.264862,10.096837,10.447412
-527.100520,-47.682666,10.109722,10.464358
-532.085549,-48.100399,10.122605,10.481306
-537.070632,-48.518057,10.137123,10.498608
-542.055770,-48.935637,10.150003,10.515559
-547.040964,-49.353134,10.164518,10.532863
-552.026215,-49.770544,10.177395,10.549818
-557.011525,-50.187865,10.191907,10.567125
-561.996894,-50.605091,10.204442,10.582432
-566.982325,-51.022220,10.217314,10.599391
-571.967818,-51.439242,10.231823,10.616702
-576.953364,-51.850817,10.244691,10.633665
-581.938924,-52.236410,10.259197,10.650978
-586.924453,-52.572801,10.272063,10.667944
-591.909907,-52.836765,10.261601,10.670451
-596.895242,-53.005081,10.224214,10.656131
-601.880413,-53.054525,10.188484,10.642143
-606.865375,-52.961876,10.151137,10.627783
-611.850084,-52.703911,10.131364,10.373110
-616.832697,-52.254033,10.012523,10.334842
-621.691374,-51.360641,9.580033,10.992059
-626.111019,-49.409744,9.897632,10.433823
-629.855489,-46.028350,10.237061,9.732445
-633.102073,-42.076238,9.623099,9.984458
-635.692437,-37.818135,9.219705,9.783278
-637.597410,-33.249630,9.003532,9.555964
-638.918979,-28.456050,9.138810,9.396821
-639.759162,-23.522747,8.795847,8.892585
-640.215202,-18.533840,8.340385,8.383513
-640.291221,-13.549474,8.441802,8.803143
-639.906687,-8.607992,8.536983,9.155427
-638.977984,-3.746944,8.626128,9.123955
-637.421562,0.996044,8.686112,8.998342
-635.186350,5.543913,8.700946,8.728951
-632.306815,9.715780,8.854658,9.092309
-628.831333,13.313871,8.989243,8.933860
-624.808282,16.140412,8.786799,9.146247
-620.296789,18.018497,8.238550,9.905302
-615.450790,18.955282,8.864813,9.109997
-610.472229,19.055081,8.999733,8.907460
-605.496691,18.489017,8.746419,9.174695
-600.563369,17.521229,9.132669,9.526264
-595.689474,16.329499,9.521290,9.877451
-590.871469,14.957790,9.875767,10.151412
-586.104225,13.439793,10.121018,10.168674
-581.382231,11.810409,10.367316,10.184888
-576.681642,10.162237,10.614986,10.201719
-571.952603,8.669749,10.863302,10.215916
-567.143280,7.513645,10.844647,10.180875
-562.201840,6.874626,10.374964,10.059906
-557.121659,6.915011,10.173664,9.877381
-552.093078,7.717037,10.255759,9.634198
-547.360060,9.341142,10.209026,9.173805
-543.166567,11.847762,10.132552,8.677525
-539.749684,15.286030,10.029535,8.991346
-537.235483,19.522692,9.949756,10.053559
-535.660260,24.276992,10.819330,10.166417
-535.057734,29.263944,11.382479,10.325177
-535.461277,34.198988,11.429724,10.570276
-536.826933,38.891368,10.841371,10.894127
-538.936611,43.361577,10.516826,10.970081
-541.548401,47.659002,10.822091,10.461966
-544.420713,51.832986,10.992695,10.014929
-547.374357,55.925068,10.528858,9.850326
-550.367354,59.959620,10.066731,9.684014
-553.375982,63.958730,9.607440,9.512878
-556.376514,67.944487,9.153163,9.338717
-559.345228,71.938979,8.701252,9.162189
-562.258399,75.964294,8.529216,9.055802
-565.092302,80.042521,8.478873,8.980855
-567.823214,84.195748,8.428847,8.907580
-570.427602,88.445703,8.490917,8.897216
-572.888922,92.800934,8.660808,8.948075
-575.199468,97.253335,8.832898,8.998722
-577.352096,101.793732,8.915575,9.021449
-579.339665,106.412952,8.960987,9.033710
-581.155032,111.101820,9.004829,9.045552
-582.791054,115.851163,8.915498,9.001638
-584.240590,120.651807,8.725927,8.916765
-585.496498,125.494579,8.535401,8.830857
-586.554853,130.371218,8.439381,8.837384
-587.424020,135.276948,8.521393,9.021862
-588.115295,140.207822,8.602846,9.206899
-588.639974,145.159898,8.533924,9.208204
-589.009354,150.129229,8.352452,9.069490
-589.234731,155.111871,8.171376,8.930380
-589.327400,160.103878,7.990710,8.790861
-589.298658,165.101307,8.097741,8.697751
-589.159800,170.100217,8.310068,8.620658
-588.921956,175.097608,8.521721,8.542250
-588.595909,180.092452,8.735873,8.463331
-588.192398,185.083970,8.758972,8.507849
-587.722161,190.071382,8.676636,8.622005
-587.195939,195.053908,8.594159,8.736302
-586.624471,200.030771,8.511542,8.850739
-586.018495,205.001190,8.428784,8.965316
-585.388750,209.964385,8.344300,9.079631
-584.745110,214.919489,8.261268,9.194483
-584.068405,219.862608,8.402516,9.164604
-583.304213,224.786183,8.556323,9.128132
-582.395996,229.682432,8.710626,9.091164
-581.287210,234.543576,8.826688,9.056640
-579.938188,239.362078,8.739383,9.032576
-578.371113,244.131303,8.650634,9.007967
-576.622336,248.844820,8.563645,8.983587
-574.728209,253.496198,8.513921,8.989559
-572.723442,258.079633,8.529694,9.051347
-570.620981,262.597595,8.546986,9.113604
-568.418368,267.058411,8.562611,9.175539
-566.112818,271.470533,8.594377,9.209401
-563.701542,275.842354,8.670020,9.157624
-561.181037,280.173766,8.747329,9.106168
-558.546358,284.447432,8.823480,9.055871
-555.792382,288.643933,8.899324,9.003891
-552.913975,292.743859,8.757479,9.143748
-549.903818,296.729320,8.595600,9.301649
-546.750207,300.585482,8.434978,9.458294
-543.440908,304.297879,8.333428,9.569787
-539.963689,307.852045,8.539235,9.447507
-536.310347,311.236873,8.745630,9.324639
-532.498833,314.463066,8.952607,9.201188
-528.557536,317.550032,9.041423,9.124304
-524.514873,320.517201,8.878687,9.143852
-520.398859,323.383673,8.716506,9.162844
-516.225271,326.158535,8.553294,9.180879
-511.995703,328.839267,8.392253,9.198731
-507.710961,331.422701,8.362704,9.160663
-503.371846,333.905669,8.475115,9.062173
-498.979163,336.285004,8.589563,8.965624
-494.533714,338.557537,8.702113,8.866995
-490.036303,340.720100,8.624701,8.833039
-485.487733,342.769526,8.484366,8.818253
-480.889058,344.703439,8.346067,8.803419
-476.244440,346.529295,8.206629,8.787736
-471.560144,348.261204,8.196063,8.774438
-466.842475,349.913397,8.253383,8.764847
-462.097737,351.500109,8.308811,8.753171
-457.332234,353.035571,8.366279,8.743433
-452.552271,354.534019,8.423440,8.732013
-447.764154,356.009684,8.479461,8.721732
-442.974185,357.476800,8.536765,8.710169
-438.188007,358.948226,8.592928,8.699747
-433.407129,360.428232,8.650760,8.689645
-428.631465,361.917783,8.708278,8.677867
-423.860926,363.417835,8.764649,8.667237
-419.095424,364.929345,8.822307,8.655320
-414.334870,366.453269,8.878815,8.644552
-409.579176,367.990564,8.936612,8.632496
-404.828252,369.542186,8.993256,8.621593
-400.082011,371.109071,9.051190,8.609400
-395.340386,372.691555,9.109586,8.598734
-390.603333,374.289307,9.166038,8.586033
-385.870808,375.901958,9.194508,8.577451
-381.142769,377.529143,9.187236,8.572791
-376.419173,379.170492,9.179964,8.568130
-371.699977,380.825639,9.171073,8.563100
-366.985138,382.494216,9.163803,8.558438
-362.274612,384.175857,9.156533,8.553775
-357.568358,385.870192,9.149264,8.549112
-352.866333,387.576856,9.141601,8.542854
-348.168492,389.295481,9.132713,8.537820
-343.474794,391.025698,9.125446,8.533155
-338.785196,392.767142,9.118180,8.528489
-334.099654,394.519444,9.110914,8.523823
-329.418126,396.282237,9.103648,8.519156
-324.740568,398.055154,9.096383,8.514489
-320.066939,399.837827,9.087501,8.509450
-315.397176,401.629876,9.079841,8.503188
-310.731108,403.430845,9.085883,8.509079
-306.068525,405.240250,9.093147,8.513747
-301.409213,407.057606,9.099189,8.519638
-296.752961,408.882429,9.104835,8.523935
-292.099558,410.714234,9.110481,8.528233
-287.448791,412.552537,9.116523,8.534123
-282.800449,414.396854,9.123789,8.538790
-278.154319,416.246701,9.129831,8.544680
-273.510190,418.101592,9.135479,8.548976
-268.867850,419.961044,9.141126,8.553272
-264.227087,421.824571,9.147168,8.559162
-259.587689,423.691691,9.154436,8.563827
-254.949445,425.561917,9.160478,8.569717
-250.312142,427.434767,9.166127,8.574012
-245.675569,429.309755,9.171775,8.578308
-241.039513,431.186397,9.177818,8.584197
-236.403798,433.064283,9.185087,8.588860
-231.768622,434.943841,9.190737,8.593155
-227.134429,436.826027,9.196780,8.599044
-222.501661,438.711805,9.202429,8.603338
-217.870764,440.602142,9.208472,8.609228
-213.242181,442.498002,9.215743,8.613889
-208.616357,444.400349,9.221394,8.618182
-203.993738,446.310150,9.227437,8.624071
-199.374766,448.228368,9.229058,8.624438
-194.759887,450.155969,9.187541,8.586407
-190.149545,452.093917,9.145630,8.546780
-185.544184,454.043178,9.104114,8.508746
-180.944250,456.004716,9.062202,8.469120
-176.350186,457.979497,9.020688,8.431085
-171.762437,459.968485,8.978776,8.391459
-167.181447,461.972646,8.937264,8.353422
-162.607661,463.992943,8.893738,8.313422
-158.041487,466.030307,8.852228,8.275382
-153.482436,468.084778,8.810316,8.235756
-148.929081,470.155470,8.768808,8.197715
-144.379951,472.241452,8.726895,8.158090
-139.833573,474.341788,8.685389,8.120047
-135.285274,476.444801,8.643476,8.080422
-130.720461,478.505508,8.431421,8.244747
-126.122620,480.472486,8.183497,8.454885
-121.475239,482.294316,7.935988,8.664608
-116.762677,483.892185,7.726507,8.788574
-111.978689,484.891925,7.853563,8.516341
-107.123323,484.745094,8.521680,7.732877
-102.241752,483.372211,7.966906,8.078834
-97.455635,481.497211,7.834406,8.400264
-92.831923,479.487980,8.572568,7.912682
-88.599442,476.883203,8.013530,8.205230
-85.614713,473.158196,7.641426,8.756320
-84.024708,468.517703,8.082057,8.681616
-82.881414,463.682833,9.196510,9.108428
-81.991553,458.762493,9.708210,9.276874
-81.262907,453.791252,9.648552,9.213232
-80.603255,448.803679,9.590883,9.151577
-79.931761,443.829522,9.533197,9.089938
-79.227553,438.873123,9.475116,9.026707
-78.489439,433.930487,9.415772,8.964739
-77.716239,428.997614,9.358037,8.903150
-76.906881,424.070588,9.300286,8.841577
-76.062697,419.147292,9.240509,8.778052
-75.187353,414.227358,9.182723,8.716514
-74.284613,409.310494,9.147798,8.679845
-73.358239,404.396406,9.157782,8.695715
-72.411994,399.484799,9.169381,8.711958
-71.449643,394.575380,9.180978,8.728204
-70.474947,389.667854,9.190563,8.742483
-69.491671,384.761929,9.202153,8.758735
-68.503376,379.857319,9.212120,8.774622
-67.511663,374.953832,9.223317,8.789278
-66.517021,370.051327,9.233278,8.805171
-65.519928,365.149665,9.244855,8.821436
-64.520858,360.248704,9.256044,8.836101
-63.520289,355.348306,9.265995,8.852003
-62.518697,350.448329,9.277563,8.868277
-61.516558,345.548635,9.287123,8.882582
-60.514350,340.649083,9.298685,8.898862
-59.512548,335.749532,9.310245,8.915145
-58.511628,330.849844,9.319796,8.929458
-57.512069,325.949877,9.331350,8.945747
-56.514345,321.049493,9.341278,8.961672
-55.518933,316.148550,9.352444,8.976360
-54.526310,311.246909,9.362365,8.992292
-53.536952,306.344430,9.373907,9.008593
-52.551335,301.440972,9.385445,9.024897
-51.569830,296.536421,9.394977,9.039229
-50.590609,291.631172,9.406509,9.055539
-49.609779,286.726100,9.416415,9.071487
-48.623364,281.822098,9.427563,9.086192
-47.627392,276.920062,9.437462,9.102146
-46.617887,272.020885,9.448983,9.118468
-45.590877,267.125460,9.460124,9.133181
-44.542387,262.234682,9.470014,9.149144
