# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,5.500,5.500
-285.809625,15.233705,5.500,5.500
-320.382473,19.347917,5.500,5.500
-344.616817,25.908418,5.500,5.500
-369.518161,38.251055,5.500,5.500
-470.902206,127.318191,5.500,5.500
-514.257225,164.346102,5.500,5.500
-521.483061,170.128238,5.500,5.500
-531.821566,171.796162,5.500,5.500
-544.716905,169.461068,5.500,5.500
-554.388409,163.011762,5.500,5.500
-560.724912,156.784847,5.500,5.500
-579.067420,100.964993,5.500,5.500
-588.738924,59.155701,5.500,5.500
-612.973268,-67.384126,5.500,5.500
-662.887123,-322.020508,5.500,5.500
-665.666291,-327.357864,5.500,5.500
-669.334792,-332.028051,5.500,5.500
-676.227129,-337.031823,5.500,5.500
-684.453466,-338.922136,5.500,5.500
-694.569637,-338.699747,5.500,5.500
-699.238639,-336.809433,5.500,5.500
-710.911144,-322.020508,5.500,5.500
-722.583649,-305.452463,5.500,5.500
-731.254653,-286.660521,5.500,5.500
-740.592657,-277.431342,5.500,5.500
-784.614676,-242.182550,5.500,5.500
-806.514519,-221.945074,5.500,5.500
-820.188025,-208.712877,5.500,5.500
-828.636695,-196.815020,5.500,5.500
-837.196532,-167.793144,5.500,5.500
-835.973698,-154.227363,5.500,5.500
-833.528031,-143.886235,5.500,5.500
-827.525028,-131.877183,5.500,5.500
-830.637696,-124.315928,5.500,5.500
-841.754368,-120.535300,5.500,5.500
-862.209043,-113.530020,5.500,5.500
-879.773384,-102.299333,5.500,5.500
-901.339727,-87.176822,5.500,5.500
-918.014734,-72.499092,5.500,5.500
-924.017737,-60.156455,5.500,5.500
-926.796905,-42.810047,5.500,5.500
-927.463905,-27.576342,5.500,5.500
-910.566564,1.223144,5.500,5.500
-842.421368,123.203979,5.500,5.500
-754.710830,280.767190,5.500,5.500
-739.147489,309.233091,5.500,5.500
-724.584650,322.687677,5.500,5.500
-718.581647,327.580254,5.500,5.500
-698.571638,331.583271,5.500,5.500
-680.896131,320.686168,5.500,5.500
-658.551621,305.118879,5.500,5.500
-566.616747,208.712877,5.500,5.500
-558.390411,204.487470,5.500,5.500
-551.609241,206.155394,5.500,5.500
-545.272738,218.164446,5.500,5.500
-509.032389,289.106809,5.500,5.500
-460.563701,371.168665,5.500,5.500
-451.670364,384.400861,5.500,5.500
-443.110527,387.514319,5.500,5.500
-427.658353,380.620234,5.500,5.500
-418.765016,375.394072,5.500,5.500
-160.858237,226.170481,5.500,5.500
-118.726052,210.047216,5.500,5.500
-89.489206,204.598665,5.500,5.500
274.248286,183.138044,5.500,5.500
288.366459,185.917917,5.500,5.500
306.708967,194.479927,5.500,5.500
321.827641,205.154640,5.500,5.500
331.499145,222.834633,5.500,5.500
333.944813,239.625067,5.500,5.500
331.165645,279.544046,5.500,5.500
320.715973,333.807170,5.500,5.500
289.144626,421.428772,5.500,5.500
280.584789,440.109520,5.500,5.500
274.804120,455.565614,5.500,5.500
271.691452,474.468752,5.500,5.500
271.691452,498.709246,5.500,5.500
277.027454,552.638785,5.500,5.500
286.254292,573.877016,5.500,5.500
298.927297,586.664433,5.500,5.500
309.599302,587.665187,5.500,5.500
319.270806,585.107704,5.500,5.500
329.942811,572.765067,5.500,5.500
335.723480,565.203812,5.500,5.500
341.281816,557.531362,5.500,5.500
351.286820,549.080548,5.500,5.500
374.298330,537.738665,5.500,5.500
393.641339,532.401309,5.500,5.500
417.875682,534.736402,5.500,5.500
430.326355,529.732631,5.500,5.500
436.662857,520.837036,5.500,5.500
440.331359,506.604086,5.500,5.500
450.114030,386.958345,5.500,5.500
471.124539,235.066075,5.500,5.500
499.583218,17.679993,5.500,5.500
502.362386,-10.452323,5.500,5.500
499.583218,-24.351689,5.500,5.500
491.912715,-36.471936,5.500,5.500
456.672866,-90.290280,5.500,5.500
450.336363,-99.074680,5.500,5.500
443.666360,-102.299333,5.500,5.500
435.217690,-103.300087,5.500,5.500
415.874682,-102.299333,5.500,5.500
326.607809,-97.406756,5.500,5.500
188.983416,-82.729025,5.500,5.500
171.530242,-78.170033,5.500,5.500
160.524737,-71.498338,5.500,5.500
151.853733,-62.046769,5.500,5.500
144.627896,-43.143632,5.500,5.500
143.627396,-24.462884,5.500,5.500
144.183230,-13.343391,5.500,5.500
140.625895,-7.561255,5.500,5.500
121.394053,-6.226916,5.500,5.500
101.495211,-5.782136,5.500,5.500
