# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.500,6.500
36.900596,28.799486,6.500,6.500
68.347552,47.146649,6.500,6.500
230.186057,131.543598,6.500,6.500
253.629622,146.221329,6.500,6.500
275.869136,163.567737,6.500,6.500
296.408815,182.915654,6.500,6.500
313.973782,203.931495,6.500,6.500
330.334698,225.948091,6.500,6.500
352.149254,266.200654,6.500,6.500
369.785047,305.007684,6.500,6.500
410.014487,394.630795,6.500,6.500
417.097135,414.089907,6.500,6.500
421.346724,434.994553,6.500,6.500
422.125815,461.236556,6.500,6.500
417.947053,484.809880,6.500,6.500
394.078529,546.189480,6.500,6.500
368.085212,613.795995,6.500,6.500
336.638255,698.192944,6.500,6.500
328.634863,729.549914,6.500,6.500
321.127256,766.800214,6.500,6.500
316.523535,801.381836,6.500,6.500
313.548823,830.737297,6.500,6.500
304.341381,966.506302,6.500,6.500
306.041216,975.401897,6.500,6.500
311.494855,981.740007,6.500,6.500
319.852379,983.852711,6.500,6.500
334.088502,981.740007,6.500,6.500
348.820409,981.740007,6.500,6.500
358.877769,983.852711,6.500,6.500
365.535458,991.191576,6.500,6.500
367.235294,999.531196,6.500,6.500
363.056532,1010.539493,6.500,6.500
311.494855,1094.936443,6.500,6.500
204.334392,1283.078259,6.500,6.500
90.941199,1481.227618,6.500,6.500
89.737149,1490.123212,6.500,6.500
94.765829,1498.018052,6.500,6.500
105.248148,1501.687484,6.500,6.500
116.934517,1498.462831,6.500,6.500
154.260071,1479.670889,6.500,6.500
244.847138,1436.193673,6.500,6.500
288.405423,1409.395695,6.500,6.500
333.734369,1375.814827,6.500,6.500
374.388768,1341.789180,6.500,6.500
406.614816,1306.651583,6.500,6.500
579.785558,1100.162604,6.500,6.500
591.967712,1088.598332,6.500,6.500
612.861523,1075.588525,6.500,6.500
650.187078,1051.459226,6.500,6.500
666.547994,1035.224767,6.500,6.500
680.359158,1013.208172,6.500,6.500
689.212468,993.193085,6.500,6.500
695.091066,970.731710,6.500,6.500
700.119746,929.256002,6.500,6.500
703.023631,914.578272,6.500,6.500
708.052311,901.012491,6.500,6.500
717.684712,883.221302,6.500,6.500
803.243099,746.340348,6.500,6.500
857.708661,659.385915,6.500,6.500
872.794701,626.916996,6.500,6.500
882.427103,602.787697,6.500,6.500
893.759339,563.980668,6.500,6.500
962.106892,325.467550,6.500,6.500
1066.930081,-36.694326,6.500,6.500
1091.223563,-123.759953,6.500,6.500
1092.498440,-137.881709,6.500,6.500
1089.948686,-153.560194,6.500,6.500
1081.591162,-166.125220,6.500,6.500
1069.409007,-176.688738,6.500,6.500
1053.898008,-185.028358,6.500,6.500
1044.690566,-193.923952,6.500,6.500
1038.387010,-204.376275,6.500,6.500
1033.358330,-220.165955,6.500,6.500
1034.208247,-235.844439,6.500,6.500
1055.172885,-329.692958,6.500,6.500
1054.747926,-345.927417,6.500,6.500
1051.419082,-360.605147,6.500,6.500
1040.086845,-376.839606,6.500,6.500
1026.629814,-387.847904,6.500,6.500
787.732100,-552.972370,6.500,6.500
772.646060,-559.310481,6.500,6.500
757.560020,-559.755261,6.500,6.500
741.624062,-555.085074,6.500,6.500
728.591990,-545.633505,6.500,6.500
719.384548,-532.067724,6.500,6.500
715.630744,-518.390748,6.500,6.500
714.780827,-503.713018,6.500,6.500
719.384548,-490.036042,6.500,6.500
727.742072,-475.914286,6.500,6.500
739.924227,-466.017938,6.500,6.500
844.322457,-401.524880,6.500,6.500
855.654694,-389.960608,6.500,6.500
861.887424,-378.396335,6.500,6.500
864.437177,-364.830554,6.500,6.500
863.162300,-348.040120,6.500,6.500
819.958148,-221.166709,6.500,6.500
806.571944,-169.349873,6.500,6.500
775.974905,-9.451569,6.500,6.500
760.888865,82.284246,6.500,6.500
757.560020,97.962730,6.500,6.500
749.981587,114.753164,6.500,6.500
739.924227,128.430140,6.500,6.500
724.838187,143.107871,6.500,6.500
708.052311,154.116168,6.500,6.500
689.637427,161.455033,6.500,6.500
670.301798,164.568491,6.500,6.500
607.832843,168.793899,6.500,6.500
583.964320,166.125220,6.500,6.500
562.149764,159.898305,6.500,6.500
539.981076,150.446736,6.500,6.500
521.920324,138.326489,6.500,6.500
500.955686,118.978572,6.500,6.500
487.569482,99.630654,6.500,6.500
472.908401,71.831923,6.500,6.500
413.768291,-76.057330,6.500,6.500
360.931737,-207.600928,6.500,6.500
349.599501,-228.060795,6.500,6.500
336.213296,-242.182550,6.500,6.500
317.798412,-252.634873,6.500,6.500
299.312701,-257.861035,6.500,6.500
282.172693,-258.417010,6.500,6.500
