# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.000,6.000
109.043717,263.604554,6.000,6.000
150.487124,360.341192,6.000,6.000
159.862846,371.027863,6.000,6.000
172.567628,377.039115,6.000,6.000
186.427390,378.820227,6.000,6.000
199.268052,376.148559,6.000,6.000
211.361374,367.910917,6.000,6.000
219.785935,357.558204,6.000,6.000
224.269976,344.645143,6.000,6.000
224.609676,330.284929,6.000,6.000
212.584294,302.343737,6.000,6.000
178.002828,218.186202,6.000,6.000
166.860667,179.001741,6.000,6.000
162.376626,138.147488,6.000,6.000
164.754526,99.853583,6.000,6.000
161.153706,84.268855,6.000,6.000
152.661204,73.804822,6.000,6.000
135.676202,60.001206,6.000,6.000
117.400339,52.765439,6.000,6.000
66.920911,33.061889,6.000,6.000
53.944369,23.265774,6.000,6.000
50.411488,8.794240,6.000,6.000
49.935908,-4.230141,6.000,6.000
55.167289,-17.477160,6.000,6.000
64.950650,-26.939317,6.000,6.000
77.179852,-31.948694,6.000,6.000
95.931295,-31.503416,6.000,6.000
188.397650,-2.003751,6.000,6.000
231.335737,6.011253,6.000,6.000
268.363043,7.235767,6.000,6.000
301.110128,4.786738,6.000,6.000
332.090773,-0.445278,6.000,6.000
354.171277,-7.235767,6.000,6.000
390.315362,-14.916812,6.000,6.000
423.673908,-17.811119,6.000,6.000
447.317031,-12.913061,6.000,6.000
475.783896,-5.454655,6.000,6.000
510.025661,11.799866,6.000,6.000
550.246148,38.071266,6.000,6.000
577.490092,50.984327,6.000,6.000
601.744676,57.997455,6.000,6.000
633.744421,61.559678,6.000,6.000
658.950165,61.003081,6.000,6.000
764.053362,54.546550,6.000,6.000
788.307946,48.980576,6.000,6.000
810.796089,37.737307,6.000,6.000
826.761992,24.045010,6.000,6.000
837.020934,9.462157,6.000,6.000
847.008115,-7.235767,6.000,6.000
852.307436,-26.494039,6.000,6.000
854.005936,-46.865506,6.000,6.000
852.103616,-66.791694,6.000,6.000
846.260775,-87.051842,6.000,6.000
833.623933,-109.093101,6.000,6.000
785.318585,-174.994240,6.000,6.000
767.518303,-204.271266,6.000,6.000
727.161936,-291.434427,6.000,6.000
707.799033,-298.224916,6.000,6.000
683.884149,-301.007903,6.000,6.000
660.988366,-299.894708,6.000,6.000
634.016181,-295.330609,6.000,6.000
606.024897,-285.757133,6.000,6.000
576.063352,-271.396919,6.000,6.000
546.373567,-250.246215,6.000,6.000
528.029764,-229.874748,6.000,6.000
524.700704,-217.406966,6.000,6.000
527.622124,-204.271266,6.000,6.000
539.036046,-187.795981,6.000,6.000
555.341649,-177.331949,6.000,6.000
579.324472,-168.537709,6.000,6.000
620.292299,-162.081179,6.000,6.000
659.765445,-152.173744,6.000,6.000
695.773651,-138.370127,6.000,6.000
715.680074,-124.343871,6.000,6.000
723.221415,-107.534628,6.000,6.000
724.240516,-89.166912,6.000,6.000
717.786215,-70.910516,6.000,6.000
701.140912,-54.323912,6.000,6.000
686.194110,-49.091895,6.000,6.000
608.538677,-39.629739,6.000,6.000
530.339725,-39.852378,6.000,6.000
447.249091,-49.871132,6.000,6.000
376.999120,-67.570931,6.000,6.000
333.517513,-81.263228,6.000,6.000
285.551866,-99.074347,6.000,6.000
239.692358,-118.555258,6.000,6.000
202.325352,-140.707836,6.000,6.000
188.601470,-146.607769,6.000,6.000
178.818109,-144.715338,6.000,6.000
169.646207,-132.024916,6.000,6.000
159.862846,-113.545881,6.000,6.000
146.410723,-105.196919,6.000,6.000
129.153961,-104.529002,6.000,6.000
112.304838,-112.432686,6.000,6.000
103.336756,-124.566510,6.000,6.000
99.192416,-137.590891,6.000,6.000
103.336756,-164.084929,6.000,6.000
140.975523,-383.829604,6.000,6.000
141.790803,-398.523777,6.000,6.000
137.646462,-413.551908,6.000,6.000
130.988341,-426.242330,6.000,6.000
124.534040,-434.368653,6.000,6.000
108.568137,-445.166644,6.000,6.000
91.515195,-449.062826,6.000,6.000
19.227023,-450.287340,6.000,6.000
4.484041,-449.508104,6.000,6.000
-16.985003,-446.168519,6.000,6.000
-39.201386,-438.932752,6.000,6.000
-57.477249,-430.583790,6.000,6.000
-81.799773,-411.436838,6.000,6.000
-97.629796,-390.286135,6.000,6.000
-108.432257,-372.141058,6.000,6.000
-116.313299,-347.650770,6.000,6.000
-118.827079,-326.166108,6.000,6.000
-116.585059,-291.100468,6.000,6.000
-109.926938,-266.164902,6.000,6.000
-5.639021,-13.135700,6.000,6.000
