condition,checkpoint,batch,seconds,full_laps,clean_laps,mean_raw_lap_seconds,lane_balanced_mean_seconds,best_raw_lap_seconds
baseline,bestsp1,2,400.0,5,0,116.58825926241379,116.64303803476005,116.21075633397015
baseline,latestsp1,2,400.0,4,0,131.08743509639402,131.08743509639405,126.39751359190927
matched8,bestsp1,8,400.0,19,0,116.29609341591352,116.29673484270153,115.09201326360821
matched8,latestsp1,8,400.0,17,2,131.08632998617264,131.15777078837482,126.46876899471725
normal8,bestsp1,8,400.0,19,0,116.61130989724666,116.59839317006086,115.61001919051725
normal8,latestsp1,8,400.0,16,1,131.12422805786787,131.12422805786784,127.0121289035352
normal8-no-wear,bestsp1,8,400.0,19,0,116.58592009638643,116.61066969886276,116.03749438889257
normal8-no-wear,latestsp1,8,400.0,16,0,132.0427233032607,132.0427233032607,128.89405715443883
stochastic8,bestsp1,8,240.0,5,3,145.19300603351368,145.19300603351368,143.1971763826467
stochastic8,latestsp1,8,240.0,3,1,151.33341581079617,151.33341581079617,147.5103138891929
normal8-aligned,bestsp1,8,400.0,19,0,115.60971118260113,115.5947136950389,115.31044771653329
normal8-aligned,latestsp1,8,400.0,18,0,130.6523324547806,130.81207969033218,125.70077412149433
